time_s,phase,target_speed_mps,target_accel_mps2,controller_speed_mps,controller_accel_mps2,controller_steering_rad,throttle_command,throttle_feedback,steering_command,steering_feedback,speed_mps,ax_mps2,ay_mps2,yaw_rate_radps,imu_yaw_rad,left_encoder_rad,right_encoder_rad,x_odom_m,y_odom_m,yaw_odom_rad,x_amcl_m,y_amcl_m,yaw_amcl_rad,amcl_xy_variance,amcl_yaw_variance,x_ekf_m,y_ekf_m,yaw_ekf_rad,ekf_xy_variance,ekf_yaw_variance,lidar_rate_hz,lidar_event_count,amcl_timing_ms,amcl_gpu_transfer_ms,amcl_gpu_pf_ms,amcl_gpu_callback_ms,amcl_pose_published,amcl_cluster_weight,amcl_kld_pre_particles,amcl_kld_bins,amcl_kld_target,amcl_kld_particles
0.498610575,record,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0003,0.0,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.518468158,record,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0003,0.0,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.595212928,record,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0003,0.0,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.598538795,record,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,-0.0001,-0.0002,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.618499357,record,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,-0.0001,-0.0002,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.638541317,record,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,-0.0002,0.0005,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800842982,record,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,-0.0002,0.0005,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.818586291,record,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,-0.0001,0.0001,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.838473093,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0004,0.0003,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.858629301,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0004,0.0003,0.0,-1.5707407162970446,0.0,0.0,nan,nan,nan,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.5003340840339661,0.20306845009326935,0.48068153858184814,-0.12765806913375854,0.02686076797544957,0.5003340840339661,0.20306845009326935,nan,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
