event_index,source_stamp_ns,stage,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_mps,steering_command_rad,previous_steering_rate_radps,previous_target_speed_rate_mps2,steering_rate_radps,target_speed_rate_mps2
145,1789731634560795813,0,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0,0,0.01162016392,3
145,1789731634560795813,1,21.80566961,0.1656917483,-0.3013786674,0,0,0,0.07500000298,0.0002905041038,0.01162016392,3,0.01911408082,3
145,1789731634560795813,2,21.8058031,0.1656498909,-0.3013716936,0.01127937157,0,3.236065368e-06,0.150000006,0.0007683561416,0.01911408082,3,0.0251374431,3
145,1789731634560795813,3,21.80637519,0.1654705405,-0.3013416529,0.03705989942,0,2.764537749e-05,0.2250000089,0.001396792242,0.0251374431,3,0.03161906451,3
145,1789731634560795813,4,21.8076898,0.1650584787,-0.3012717962,0.07401423156,0,0.0001115071063,0.3000000119,0.002187268808,0.03161906451,3,0.03992998973,3
145,1789731634560795813,5,21.80998122,0.164340511,-0.3011479974,0.1195784956,0,0.0003141307971,0.375,0.003185518552,0.03992998973,3,0.05086712539,3
145,1789731634560795813,6,21.81343022,0.1632605195,-0.3009572923,0.1717770994,0,0.0007211490883,0.4499999881,0.004457196686,0.05086712539,3,0.06465090811,3
145,1789731634560795813,7,21.81817641,0.1617756784,-0.3006868064,0.2290877551,0,0.00145143806,0.5249999762,0.006073469296,0.06465090811,3,0.08095666021,3
145,1789731634560795813,8,21.82432785,0.1598536223,-0.3003224134,0.290337503,0,0.00266209105,0.5999999642,0.008097385988,0.08095666021,3,0.09898543358,3
145,1789731634560795813,9,21.83196835,0.1574702412,-0.2998471856,0.3546224833,0,0.00454813987,0.6749999523,0.01057202183,0.09898543358,3,0.117563501,3
145,1789731634560795813,10,21.84116321,0.1546080559,-0.2992405593,0.4212462902,0,0.007334932219,0.7499999404,0.01351110917,0.117563501,3,0.1352633089,3
145,1789731634560795813,11,21.85196363,0.1512550563,-0.2984776199,0.4896722138,0,0.01126256958,0.8249999285,0.01689269207,0.1352633089,3,0.150534451,3
145,1789731634560795813,12,21.86441004,0.1474038213,-0.2975287139,0.5594867468,0,0.01656324044,0.8999999166,0.02065605298,0.150534451,3,0.161835283,3
145,1789731634560795813,13,21.87853484,0.1430510283,-0.2963598669,0.6303713322,0,0.02343343943,0.9749999046,0.02470193431,0.161835283,3,0.167756632,3
145,1789731634560795813,14,21.89436437,0.1381970942,-0.2949340641,0.702080369,0,0.03200379759,1.049999952,0.02889585122,0.167756632,3,0.16713503,3
145,1789731634560795813,15,21.91192048,0.1328459829,-0.2932130694,0.7744247913,0,0.04230971262,1.125,0.03307422623,0.16713503,3,0.1591556519,3
145,1789731634560795813,16,21.93122381,0.1270050108,-0.2911757231,0.847258687,0,0.05426618457,1.200000048,0.03705311567,0.1591556519,3,0.1434463561,3
145,1789731634560795813,17,21.95229197,0.120684512,-0.2888031006,0.9204698205,0,0.06765027344,1.275000095,0.04063927382,0.1434463561,3,0.1201405078,3
145,1789731634560795813,18,21.97513999,0.1138977706,-0.2860799134,0.9939716458,0,0.08209420741,1.350000143,0.0436427854,0.1201405078,3,0.08990381658,3
145,1789731634560795813,19,21.99978134,0.1066607535,-0.2830021679,1.067697406,0,0.09709127247,1.425000191,0.0458903797,0.08990381658,3,0.05392543972,3
145,1789731634560795813,20,22.02622311,0.09899241477,-0.2795296907,1.141595721,0,0.112015754,1.500000238,0.04723851383,0.05392543972,3,0.01386217773,3
145,1789731634560795813,21,22.05447421,0.09091481566,-0.2756544054,1.215627074,0,0.1261566877,1.575000286,0.04758507013,0.01386217773,3,-0.02818065882,3
145,1789731634560795813,22,22.08454534,0.0824521631,-0.2714078724,1.289760828,0,0.1387654692,1.650000334,0.04688055441,-0.02818065882,3,-0.06960666925,3
145,1789731634560795813,23,22.11645929,0.07362705469,-0.2670123875,1.363973618,0,0.1491186768,1.725000381,0.04514038935,-0.06960666925,3,-0.107213147,3
145,1789731634560795813,24,22.15022901,0.06445657462,-0.2626660168,1.438247204,0,0.1565993875,1.800000429,0.04246006161,-0.107213147,3,-0.1373204142,3
