stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,gt_world_x_m,gt_world_y_m,gt_world_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,amcl_absolute_error_m,amcl_absolute_error_rad,amcl_relative_drift_m,amcl_relative_drift_rad,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_error_m,current_map_error_rad,current_map_absolute_error_m,current_map_absolute_error_rad,current_map_relative_drift_m,current_map_relative_drift_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,ekf_absolute_error_m,ekf_absolute_error_rad,ekf_relative_drift_m,ekf_relative_drift_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,odom_absolute_error_m,odom_absolute_error_rad,odom_relative_drift_m,odom_relative_drift_rad,gt_speed_mps,collision_count,scoring_mode,map_provenance_file
1788944797.873523,3.484569,-2.686392,4.213667,-2.980846,-0.100700,0.000600,0.028831,-2.686392,4.213667,-2.980846,0.000000,0.000000,nan,nan,0.000000,0.000000,-2.700480,4.211278,-2.966432,0.014289,0.014414,nan,nan,0.014289,0.014414,-2.686392,4.213667,-2.980846,0.000000,0.000000,nan,nan,0.000000,0.000000,-2.686392,4.213667,-2.980846,0.000000,0.000000,nan,nan,0.000000,0.000000,nan,-1,relative_first_pair,
1788944797.873523,3.484569,-2.686392,4.213667,-2.980846,-0.100700,0.000600,0.028831,-2.713832,4.208896,-2.956225,0.027852,0.024620,nan,nan,0.027852,0.024620,-2.700480,4.211278,-2.966432,0.014289,0.014414,nan,nan,0.014289,0.014414,-2.700444,4.211076,-2.966432,0.014289,0.014414,nan,nan,0.014289,0.014414,-2.700444,4.211076,-2.966432,0.014289,0.014414,nan,nan,0.014289,0.014414,0.342261,0,relative_first_pair,
1788944797.922359,3.533405,-2.702855,4.210777,-2.965043,-0.084000,0.001300,0.044634,-2.713832,4.208896,-2.956225,0.011137,0.008818,nan,nan,0.011137,0.008818,-2.727946,4.206133,-2.940423,0.025517,0.024620,nan,nan,0.025517,0.024620,-2.700444,4.211076,-2.966432,0.002429,0.001388,nan,nan,0.002429,0.001388,-2.700444,4.211076,-2.966432,0.002429,0.001388,nan,nan,0.002429,0.001388,0.342261,0,relative_first_pair,
1788944797.922359,3.533405,-2.702855,4.210777,-2.965043,-0.084000,0.001300,0.044634,-2.713832,4.208896,-2.956225,0.011137,0.008818,nan,nan,0.011137,0.008818,-2.727946,4.206133,-2.940423,0.025517,0.024620,nan,nan,0.025517,0.024620,-2.714546,4.208254,-2.950629,0.011960,0.014414,nan,nan,0.011960,0.014414,-2.714546,4.208254,-2.950629,0.011960,0.014414,nan,nan,0.011960,0.014414,0.342261,0,relative_first_pair,
1788944797.973162,3.584208,-2.719972,4.207497,-2.949242,-0.066600,0.002300,0.060435,-2.713832,4.208896,-2.956225,0.006297,0.006983,nan,nan,0.006297,0.006983,-2.728990,4.205929,-2.940424,0.009152,0.008818,nan,nan,0.009152,0.008818,-2.729641,4.204985,-2.934828,0.009989,0.014414,nan,nan,0.009989,0.014414,-2.729641,4.204985,-2.934828,0.009989,0.014414,nan,nan,0.009989,0.014414,0.343070,0,relative_first_pair,
1788944797.973162,3.584208,-2.719972,4.207497,-2.949242,-0.066600,0.002300,0.060435,-2.743054,4.202928,-2.924622,0.023530,0.024620,nan,nan,0.023530,0.024620,-2.728990,4.205929,-2.940424,0.009152,0.008818,nan,nan,0.009152,0.008818,-2.729641,4.204985,-2.934828,0.009989,0.014414,nan,nan,0.009989,0.014414,-2.729641,4.204985,-2.934828,0.009989,0.014414,nan,nan,0.009989,0.014414,0.343070,0,relative_first_pair,
1788944798.023225,3.634270,-2.736753,4.203959,-2.933425,-0.049500,0.003600,0.076252,-2.743054,4.202928,-2.924622,0.006385,0.008803,nan,nan,0.006385,0.008803,-2.758273,4.199447,-2.908805,0.021988,0.024620,nan,nan,0.021988,0.024620,-2.729641,4.204985,-2.934828,0.007186,0.001403,nan,nan,0.007186,0.001403,-2.729641,4.204985,-2.934828,0.007186,0.001403,nan,nan,0.007186,0.001403,0.342556,0,relative_first_pair,
1788944798.023225,3.634270,-2.736753,4.203959,-2.933425,-0.049500,0.003600,0.076252,-2.743054,4.202928,-2.924622,0.006385,0.008803,nan,nan,0.006385,0.008803,-2.758273,4.199447,-2.908805,0.021988,0.024620,nan,nan,0.021988,0.024620,-2.744845,4.201439,-2.919011,0.008475,0.014414,nan,nan,0.008475,0.014414,-2.744845,4.201439,-2.919011,0.008475,0.014414,nan,nan,0.008475,0.014414,0.342556,0,relative_first_pair,
1788944798.073287,3.684333,-2.753309,4.200249,-2.917416,-0.032600,0.005100,0.092261,-2.743054,4.202928,-2.924622,0.010599,0.007206,nan,nan,0.010599,0.007206,-2.758541,4.199384,-2.908613,0.005303,0.008803,nan,nan,0.005303,0.008803,-2.760257,4.197586,-2.903002,0.007441,0.014414,nan,nan,0.007441,0.014414,-2.760257,4.197586,-2.903002,0.007441,0.014414,nan,nan,0.007441,0.014414,0.338904,0,relative_first_pair,
1788944798.073287,3.684333,-2.753309,4.200249,-2.917416,-0.032600,0.005100,0.092261,-2.773702,4.195658,-2.892796,0.020903,0.024620,nan,nan,0.020903,0.024620,-2.758541,4.199384,-2.908613,0.005303,0.008803,nan,nan,0.005303,0.008803,-2.760257,4.197586,-2.903002,0.007441,0.014414,nan,nan,0.007441,0.014414,-2.760257,4.197586,-2.903002,0.007441,0.014414,nan,nan,0.007441,0.014414,0.338904,0,relative_first_pair,
1788944798.123220,3.734266,-2.769825,4.196241,-2.899380,-0.015700,0.006900,0.110297,-2.773702,4.195658,-2.892796,0.003920,0.006584,nan,nan,0.003920,0.006584,-2.789210,4.191569,-2.874759,0.019940,0.024620,nan,nan,0.019940,0.024620,-2.775749,4.193431,-2.884966,0.006556,0.014414,nan,nan,0.006556,0.014414,-2.775749,4.193431,-2.884966,0.006556,0.014414,nan,nan,0.006556,0.014414,0.340367,0,relative_first_pair,
1788944798.123220,3.734266,-2.769825,4.196241,-2.899380,-0.015700,0.006900,0.110297,-2.773702,4.195658,-2.892796,0.003920,0.006584,nan,nan,0.003920,0.006584,-2.789210,4.191569,-2.874759,0.019940,0.024620,nan,nan,0.019940,0.024620,-2.775749,4.193431,-2.884966,0.006556,0.014414,nan,nan,0.006556,0.014414,-2.775749,4.193431,-2.884966,0.006556,0.014414,nan,nan,0.006556,0.014414,0.340367,0,relative_first_pair,
1788944798.172694,3.783740,-2.786401,4.191924,-2.880750,0.001300,0.009000,0.128927,-2.773702,4.195658,-2.892796,0.013237,0.012046,nan,nan,0.013237,0.012046,-2.789075,4.191599,-2.874166,0.002693,0.006584,nan,nan,0.002693,0.006584,-2.791028,4.189032,-2.866336,0.005456,0.014414,nan,nan,0.005456,0.014414,-2.791028,4.189032,-2.866336,0.005456,0.014414,nan,nan,0.005456,0.014414,0.346227,0,relative_first_pair,
1788944798.172694,3.783740,-2.786401,4.191924,-2.880750,0.001300,0.009000,0.128927,-2.804508,4.187233,-2.856130,0.018704,0.024620,nan,nan,0.018704,0.024620,-2.789075,4.191599,-2.874166,0.002693,0.006584,nan,nan,0.002693,0.006584,-2.791028,4.189032,-2.866336,0.005456,0.014414,nan,nan,0.005456,0.014414,-2.791028,4.189032,-2.866336,0.005456,0.014414,nan,nan,0.005456,0.014414,0.346227,0,relative_first_pair,
1788944798.224097,3.835143,-2.802640,4.187348,-2.862297,0.018000,0.011400,0.147380,-2.804508,4.187233,-2.856130,0.001871,0.006167,nan,nan,0.001871,0.006167,-2.820376,4.182417,-2.837677,0.018408,0.024620,nan,nan,0.018408,0.024620,-2.791028,4.189032,-2.866336,0.011734,0.004039,nan,nan,0.011734,0.004039,-2.791028,4.189032,-2.866336,0.011734,0.004039,nan,nan,0.011734,0.004039,0.328224,0,relative_first_pair,
1788944798.224097,3.835143,-2.802640,4.187348,-2.862297,0.018000,0.011400,0.147380,-2.804508,4.187233,-2.856130,0.001871,0.006167,nan,nan,0.001871,0.006167,-2.820376,4.182417,-2.837677,0.018408,0.024620,nan,nan,0.018408,0.024620,-2.806876,4.184149,-2.847883,0.005308,0.014414,nan,nan,0.005308,0.014414,-2.806876,4.184149,-2.847883,0.005308,0.014414,nan,nan,0.005308,0.014414,0.328224,0,relative_first_pair,
1788944798.273129,3.884175,-2.818444,4.182527,-2.844849,0.034300,0.014100,0.164828,-2.804508,4.187233,-2.856130,0.014709,0.011281,nan,nan,0.014709,0.011281,-2.819779,4.182607,-2.838682,0.001338,0.006167,nan,nan,0.001338,0.006167,-2.822038,4.179177,-2.830435,0.004914,0.014414,nan,nan,0.004914,0.014414,-2.822038,4.179177,-2.830435,0.004914,0.014414,nan,nan,0.004914,0.014414,0.336966,0,relative_first_pair,
1788944798.273129,3.884175,-2.818444,4.182527,-2.844849,0.034300,0.014100,0.164828,-2.835559,4.177509,-2.820229,0.017836,0.024620,nan,nan,0.017836,0.024620,-2.819779,4.182607,-2.838682,0.001338,0.006167,nan,nan,0.001338,0.006167,-2.822038,4.179177,-2.830435,0.004914,0.014414,nan,nan,0.004914,0.014414,-2.822038,4.179177,-2.830435,0.004914,0.014414,nan,nan,0.004914,0.014414,0.336966,0,relative_first_pair,
1788944798.323230,3.934276,-2.834505,4.177370,-2.826983,0.050900,0.017100,0.182694,-2.835559,4.177509,-2.820229,0.001064,0.006754,nan,nan,0.001064,0.006754,-2.851109,4.172178,-2.802363,0.017397,0.024620,nan,nan,0.017397,0.024620,-2.837566,4.173780,-2.812569,0.004718,0.014414,nan,nan,0.004718,0.014414,-2.837566,4.173780,-2.812569,0.004718,0.014414,nan,nan,0.004718,0.014414,0.336696,0,relative_first_pair,
1788944798.323230,3.934276,-2.834505,4.177370,-2.826983,0.050900,0.017100,0.182694,-2.835559,4.177509,-2.820229,0.001064,0.006754,nan,nan,0.001064,0.006754,-2.851109,4.172178,-2.802363,0.017397,0.024620,nan,nan,0.017397,0.024620,-2.837566,4.173780,-2.812569,0.004718,0.014414,nan,nan,0.004718,0.014414,-2.837566,4.173780,-2.812569,0.004718,0.014414,nan,nan,0.004718,0.014414,0.339155,0,relative_first_pair,
1788944798.373133,3.984179,-2.850527,4.171915,-2.809292,0.067500,0.020400,0.200385,-2.835559,4.177509,-2.820229,0.015979,0.010937,nan,nan,0.015979,0.010937,-2.851162,4.172161,-2.802538,0.000682,0.006754,nan,nan,0.000682,0.006754,-2.837566,4.173780,-2.812569,0.013095,0.003277,nan,nan,0.013095,0.003277,-2.837566,4.173780,-2.812569,0.013095,0.003277,nan,nan,0.013095,0.003277,0.339155,0,relative_first_pair,
1788944798.373133,3.984179,-2.850527,4.171915,-2.809292,0.067500,0.020400,0.200385,-2.866614,4.166552,-2.784672,0.016958,0.024620,nan,nan,0.016958,0.024620,-2.851162,4.172161,-2.802538,0.000682,0.006754,nan,nan,0.000682,0.006754,-2.853047,4.168089,-2.794878,0.004582,0.014414,nan,nan,0.004582,0.014414,-2.853047,4.168089,-2.794878,0.004582,0.014414,nan,nan,0.004582,0.014414,0.339155,0,relative_first_pair,
1788944798.422403,4.033449,-2.866026,4.166328,-2.790178,0.083600,0.023900,0.219499,-2.866614,4.166552,-2.784672,0.000629,0.005506,nan,nan,0.000629,0.005506,-2.851162,4.172161,-2.802538,0.015968,0.012360,nan,nan,0.015968,0.012360,-2.868248,4.162181,-2.775764,0.004705,0.014414,nan,nan,0.004705,0.014414,-2.868248,4.162181,-2.775764,0.004705,0.014414,nan,nan,0.004705,0.014414,0.334404,0,relative_first_pair,
1788944798.422403,4.033449,-2.866026,4.166328,-2.790178,0.083600,0.023900,0.219499,-2.866614,4.166552,-2.784672,0.000629,0.005506,nan,nan,0.000629,0.005506,-2.881840,4.160708,-2.765558,0.016783,0.024620,nan,nan,0.016783,0.024620,-2.868248,4.162181,-2.775764,0.004705,0.014414,nan,nan,0.004705,0.014414,-2.868248,4.162181,-2.775764,0.004705,0.014414,nan,nan,0.004705,0.014414,0.334404,0,relative_first_pair,
1788944798.473290,4.084336,-2.881857,4.160192,-2.769850,0.100100,0.027900,0.239827,-2.866614,4.166552,-2.784672,0.016516,0.014821,nan,nan,0.016516,0.014821,-2.882367,4.160495,-2.764344,0.000593,0.005506,nan,nan,0.000593,0.005506,-2.883855,4.155758,-2.755436,0.004864,0.014414,nan,nan,0.004864,0.014414,-2.883855,4.155758,-2.755436,0.004864,0.014414,nan,nan,0.004864,0.014414,0.333637,0,relative_first_pair,
1788944798.473290,4.084336,-2.881857,4.160192,-2.769850,0.100100,0.027900,0.239827,-2.897474,4.154351,-2.745230,0.016674,0.024620,nan,nan,0.016674,0.024620,-2.882367,4.160495,-2.764344,0.000593,0.005506,nan,nan,0.000593,0.005506,-2.883855,4.155758,-2.755436,0.004864,0.014414,nan,nan,0.004864,0.014414,-2.883855,4.155758,-2.755436,0.004864,0.014414,nan,nan,0.004864,0.014414,0.333637,0,relative_first_pair,
1788944798.523195,4.134241,-2.897251,4.153812,-2.749495,0.116200,0.032200,0.260182,-2.897474,4.154351,-2.745230,0.000583,0.004265,nan,nan,0.000583,0.004265,-2.912706,4.147793,-2.724875,0.016585,0.024620,nan,nan,0.016585,0.024620,-2.899059,4.149136,-2.735081,0.005013,0.014414,nan,nan,0.005013,0.014414,-2.899059,4.149136,-2.735081,0.005013,0.014414,nan,nan,0.005013,0.014414,0.333925,0,relative_first_pair,
1788944798.523195,4.134241,-2.897251,4.153812,-2.749495,0.116200,0.032200,0.260182,-2.897474,4.154351,-2.745230,0.000583,0.004265,nan,nan,0.000583,0.004265,-2.912706,4.147793,-2.724875,0.016585,0.024620,nan,nan,0.016585,0.024620,-2.899059,4.149136,-2.735081,0.005013,0.014414,nan,nan,0.005013,0.014414,-2.899059,4.149136,-2.735081,0.005013,0.014414,nan,nan,0.005013,0.014414,0.333925,0,relative_first_pair,
1788944798.572424,4.183470,-2.912335,4.147372,-2.730324,0.132000,0.036600,0.279352,-2.897474,4.154351,-2.745230,0.016418,0.014906,nan,nan,0.016418,0.014906,-2.912526,4.147881,-2.726060,0.000544,0.004265,nan,nan,0.000544,0.004265,-2.913947,4.142299,-2.715910,0.005323,0.014414,nan,nan,0.005323,0.014414,-2.913947,4.142299,-2.715910,0.005323,0.014414,nan,nan,0.005323,0.014414,0.333161,0,relative_first_pair,
1788944798.572424,4.183470,-2.912335,4.147372,-2.730324,0.132000,0.036600,0.279352,-2.927623,4.141019,-2.705704,0.016555,0.024620,nan,nan,0.016555,0.024620,-2.912526,4.147881,-2.726060,0.000544,0.004265,nan,nan,0.000544,0.004265,-2.913947,4.142299,-2.715910,0.005323,0.014414,nan,nan,0.005323,0.014414,-2.913947,4.142299,-2.715910,0.005323,0.014414,nan,nan,0.005323,0.014414,0.333161,0,relative_first_pair,
1788944798.622618,4.233664,-2.927453,4.140423,-2.708880,0.147900,0.041500,0.300797,-2.927623,4.141019,-2.705704,0.000619,0.003176,nan,nan,0.000619,0.003176,-2.942660,4.133817,-2.684260,0.016580,0.024620,nan,nan,0.016580,0.024620,-2.928954,4.135034,-2.694466,0.005594,0.014414,nan,nan,0.005594,0.014414,-2.928954,4.135034,-2.694466,0.005594,0.014414,nan,nan,0.005594,0.014414,0.331469,0,relative_first_pair,
1788944798.622618,4.233664,-2.927453,4.140423,-2.708880,0.147900,0.041500,0.300797,-2.927623,4.141019,-2.705704,0.000619,0.003176,nan,nan,0.000619,0.003176,-2.942660,4.133817,-2.684260,0.016580,0.024620,nan,nan,0.016580,0.024620,-2.928954,4.135034,-2.694466,0.005594,0.014414,nan,nan,0.005594,0.014414,-2.928954,4.135034,-2.694466,0.005594,0.014414,nan,nan,0.005594,0.014414,0.331469,0,relative_first_pair,
1788944798.672874,4.283920,-2.942617,4.133065,-2.687221,0.163900,0.046800,0.322455,-2.927623,4.141019,-2.705704,0.016973,0.018483,nan,nan,0.016973,0.018483,-2.942730,4.133782,-2.684046,0.000726,0.003176,nan,nan,0.000726,0.003176,-2.928954,4.135034,-2.694466,0.013804,0.007245,nan,nan,0.013804,0.007245,-2.928954,4.135034,-2.694466,0.013804,0.007245,nan,nan,0.013804,0.007245,0.335382,0,relative_first_pair,
1788944798.672874,4.283920,-2.942617,4.133065,-2.687221,0.163900,0.046800,0.322455,-2.957609,4.126258,-2.662601,0.016466,0.024620,nan,nan,0.016466,0.024620,-2.942730,4.133782,-2.684046,0.000726,0.003176,nan,nan,0.000726,0.003176,-2.943871,4.127412,-2.672807,0.005790,0.014414,nan,nan,0.005790,0.014414,-2.943871,4.127412,-2.672807,0.005790,0.014414,nan,nan,0.005790,0.014414,0.335382,0,relative_first_pair,
1788944798.723194,4.334239,-2.957371,4.125660,-2.664714,0.179500,0.052200,0.344963,-2.957609,4.126258,-2.662601,0.000644,0.002112,nan,nan,0.000644,0.002112,-2.972347,4.118393,-2.640093,0.016647,0.024620,nan,nan,0.016647,0.024620,-2.958576,4.119485,-2.650300,0.006292,0.014414,nan,nan,0.006292,0.014414,-2.958576,4.119485,-2.650300,0.006292,0.014414,nan,nan,0.006292,0.014414,0.328069,0,relative_first_pair,
1788944798.723194,4.334239,-2.957371,4.125660,-2.664714,0.179500,0.052200,0.344963,-2.957609,4.126258,-2.662601,0.000644,0.002112,nan,nan,0.000644,0.002112,-2.972347,4.118393,-2.640093,0.016647,0.024620,nan,nan,0.016647,0.024620,-2.958576,4.119485,-2.650300,0.006292,0.014414,nan,nan,0.006292,0.014414,-2.958576,4.119485,-2.650300,0.006292,0.014414,nan,nan,0.006292,0.014414,0.328069,0,relative_first_pair,
1788944798.773124,4.384169,-2.971861,4.117785,-2.643172,0.194900,0.058100,0.366504,-2.957609,4.126258,-2.662601,0.016580,0.019429,nan,nan,0.016580,0.019429,-2.972228,4.118466,-2.641060,0.000773,0.002112,nan,nan,0.000773,0.002112,-2.958576,4.119485,-2.650300,0.013393,0.007127,nan,nan,0.013393,0.007127,-2.958576,4.119485,-2.650300,0.013393,0.007127,nan,nan,0.013393,0.007127,0.330294,0,relative_first_pair,
1788944798.773124,4.384169,-2.971861,4.117785,-2.643172,0.194900,0.058100,0.366504,-2.986786,4.110273,-2.618552,0.016710,0.024620,nan,nan,0.016710,0.024620,-2.972228,4.118466,-2.641060,0.000773,0.002112,nan,nan,0.000773,0.002112,-2.972981,4.111304,-2.628758,0.006577,0.014414,nan,nan,0.006577,0.014414,-2.972981,4.111304,-2.628758,0.006577,0.014414,nan,nan,0.006577,0.014414,0.330294,0,relative_first_pair,
1788944798.822474,4.433520,-2.986027,4.109752,-2.621966,0.210000,0.064200,0.387711,-2.986786,4.110273,-2.618552,0.000921,0.003413,nan,nan,0.000921,0.003413,-3.000873,4.101950,-2.597345,0.016771,0.024620,nan,nan,0.016771,0.024620,-2.987032,4.102922,-2.607552,0.006903,0.014414,nan,nan,0.006903,0.014414,-2.987032,4.102922,-2.607552,0.006903,0.014414,nan,nan,0.006903,0.014414,0.330000,0,relative_first_pair,
1788944798.822474,4.433520,-2.986027,4.109752,-2.621966,0.210000,0.064200,0.387711,-2.986786,4.110273,-2.618552,0.000921,0.003413,nan,nan,0.000921,0.003413,-3.000873,4.101950,-2.597345,0.016771,0.024620,nan,nan,0.016771,0.024620,-2.987032,4.102922,-2.607552,0.006903,0.014414,nan,nan,0.006903,0.014414,-2.987032,4.102922,-2.607552,0.006903,0.014414,nan,nan,0.006903,0.014414,0.330000,0,relative_first_pair,
1788944798.872678,4.483724,-3.000240,4.101309,-2.600744,0.225200,0.070700,0.408933,-2.986786,4.110273,-2.618552,0.016166,0.017808,nan,nan,0.016166,0.017808,-3.001111,4.101810,-2.597330,0.001004,0.003413,nan,nan,0.001004,0.003413,-2.987032,4.102922,-2.607552,0.013306,0.006808,nan,nan,0.013306,0.006808,-2.987032,4.102922,-2.607552,0.013306,0.006808,nan,nan,0.013306,0.006808,0.329286,0,relative_first_pair,
1788944798.872678,4.483724,-3.000240,4.101309,-2.600744,0.225200,0.070700,0.408933,-3.015015,4.093185,-2.576124,0.016861,0.024620,nan,nan,0.016861,0.024620,-3.001111,4.101810,-2.597330,0.001004,0.003413,nan,nan,0.001004,0.003413,-3.001137,4.094098,-2.586330,0.007267,0.014414,nan,nan,0.007267,0.014414,-3.001137,4.094098,-2.586330,0.007267,0.014414,nan,nan,0.007267,0.014414,0.329286,0,relative_first_pair,
1788944798.923324,4.534370,-3.014401,4.092470,-2.577450,0.240400,0.077600,0.432227,-3.015015,4.093185,-2.576124,0.000943,0.001326,nan,nan,0.000943,0.001326,-3.029064,4.084038,-2.552830,0.016915,0.024620,nan,nan,0.016915,0.024620,-3.015148,4.084892,-2.563036,0.007615,0.014414,nan,nan,0.007615,0.014414,-3.015148,4.084892,-2.563036,0.007615,0.014414,nan,nan,0.007615,0.014414,0.329596,0,relative_first_pair,
1788944798.923324,4.534370,-3.014401,4.092470,-2.577450,0.240400,0.077600,0.432227,-3.015015,4.093185,-2.576124,0.000943,0.001326,nan,nan,0.000943,0.001326,-3.029064,4.084038,-2.552830,0.016915,0.024620,nan,nan,0.016915,0.024620,-3.015148,4.084892,-2.563036,0.007615,0.014414,nan,nan,0.007615,0.014414,-3.015148,4.084892,-2.563036,0.007615,0.014414,nan,nan,0.007615,0.014414,0.329596,0,relative_first_pair,
1788944798.972661,4.583707,-3.027854,4.083624,-2.554474,0.254900,0.084600,0.455203,-3.015015,4.093185,-2.576124,0.016008,0.021650,nan,nan,0.016008,0.021650,-3.028658,4.084306,-2.553148,0.001054,0.001326,nan,nan,0.001054,0.001326,-3.015148,4.084892,-2.563036,0.012769,0.008562,nan,nan,0.012769,0.008562,-3.015148,4.084892,-2.563036,0.012769,0.008562,nan,nan,0.012769,0.008562,0.326354,0,relative_first_pair,
1788944798.972661,4.583707,-3.027854,4.083624,-2.554474,0.254900,0.084600,0.455203,-3.042496,4.074844,-2.529854,0.017073,0.024620,nan,nan,0.017073,0.024620,-3.028658,4.084306,-2.553148,0.001054,0.001326,nan,nan,0.001054,0.001326,-3.028541,4.075641,-2.540060,0.008012,0.014414,nan,nan,0.008012,0.014414,-3.028541,4.075641,-2.540060,0.008012,0.014414,nan,nan,0.008012,0.014414,0.326354,0,relative_first_pair,
1788944799.022968,4.634014,-3.041241,4.074281,-2.527730,0.269400,0.092100,0.481947,-3.042496,4.074844,-2.529854,0.001375,0.002123,nan,nan,0.001375,0.002123,-3.055900,4.065171,-2.503110,0.017259,0.024620,nan,nan,0.017259,0.024620,-3.041904,4.065912,-2.513316,0.008396,0.014414,nan,nan,0.008396,0.014414,-3.041904,4.065912,-2.513316,0.008396,0.014414,nan,nan,0.008396,0.014414,0.324501,0,relative_first_pair,
1788944799.022968,4.634014,-3.041241,4.074281,-2.527730,0.269400,0.092100,0.481947,-3.042496,4.074844,-2.529854,0.001375,0.002123,nan,nan,0.001375,0.002123,-3.055900,4.065171,-2.503110,0.017259,0.024620,nan,nan,0.017259,0.024620,-3.041904,4.065912,-2.513316,0.008396,0.014414,nan,nan,0.008396,0.014414,-3.041904,4.065912,-2.513316,0.008396,0.014414,nan,nan,0.008396,0.014414,0.324501,0,relative_first_pair,
1788944799.073086,4.684132,-3.054107,4.064807,-2.501133,0.283400,0.099800,0.508543,-3.042496,4.074844,-2.529854,0.015347,0.028720,nan,nan,0.015347,0.028720,-3.055768,4.065268,-2.503257,0.001724,0.002123,nan,nan,0.001724,0.002123,-3.041904,4.065912,-2.513316,0.012253,0.012183,nan,nan,0.012253,0.012183,-3.041904,4.065912,-2.513316,0.012253,0.012183,nan,nan,0.012253,0.012183,0.318805,0,relative_first_pair,
1788944799.073086,4.684132,-3.054107,4.064807,-2.501133,0.283400,0.099800,0.508543,-3.068910,4.055244,-2.476513,0.017624,0.024620,nan,nan,0.017624,0.024620,-3.055768,4.065268,-2.503257,0.001724,0.002123,nan,nan,0.001724,0.002123,-3.054872,4.055930,-2.486719,0.008910,0.014414,nan,nan,0.008910,0.014414,-3.054872,4.055930,-2.486719,0.008910,0.014414,nan,nan,0.008910,0.014414,0.318805,0,relative_first_pair,
1788944799.123286,4.734332,-3.066636,4.055074,-2.474011,0.297100,0.107800,0.535666,-3.068910,4.055244,-2.476513,0.002281,0.002503,nan,nan,0.002281,0.002503,-3.055768,4.065268,-2.503257,0.014900,0.029246,nan,nan,0.014900,0.029246,-3.067516,4.045646,-2.459597,0.009470,0.014414,nan,nan,0.009470,0.014414,-3.067516,4.045646,-2.459597,0.009470,0.014414,nan,nan,0.009470,0.014414,0.316029,0,relative_first_pair,
1788944799.123286,4.734332,-3.066636,4.055074,-2.474011,0.297100,0.107800,0.535666,-3.068910,4.055244,-2.476513,0.002281,0.002503,nan,nan,0.002281,0.002503,-3.081597,4.045013,-2.449390,0.018030,0.024620,nan,nan,0.018030,0.024620,-3.067516,4.045646,-2.459597,0.009470,0.014414,nan,nan,0.009470,0.014414,-3.067516,4.045646,-2.459597,0.009470,0.014414,nan,nan,0.009470,0.014414,0.316029,0,relative_first_pair,
1788944799.173256,4.784302,-3.078914,4.044972,-2.446749,0.310600,0.116200,0.562928,-3.068910,4.055244,-2.476513,0.014338,0.029765,nan,nan,0.014338,0.029765,-3.081494,4.045094,-2.449251,0.002584,0.002503,nan,nan,0.002584,0.002503,-3.067516,4.045646,-2.459597,0.011417,0.012848,nan,nan,0.011417,0.012848,-3.067516,4.045646,-2.459597,0.011417,0.012848,nan,nan,0.011417,0.012848,0.318195,0,relative_first_pair,
1788944799.173256,4.784302,-3.078914,4.044972,-2.446749,0.310600,0.116200,0.562928,-3.093901,4.034526,-2.422128,0.018269,0.024620,nan,nan,0.018269,0.024620,-3.081494,4.045094,-2.449251,0.002584,0.002503,nan,nan,0.002584,0.002503,-3.079776,4.035107,-2.432335,0.009902,0.014414,nan,nan,0.009902,0.014414,-3.079776,4.035107,-2.432335,0.009902,0.014414,nan,nan,0.009902,0.014414,0.318195,0,relative_first_pair,
1788944799.223304,4.834350,-3.090841,4.034512,-2.419646,0.323800,0.125000,0.590030,-3.093901,4.034526,-2.422128,0.003060,0.002482,nan,nan,0.003060,0.002482,-3.105896,4.023726,-2.395026,0.018519,0.024620,nan,nan,0.018519,0.024620,-3.079776,4.035107,-2.432335,0.011081,0.012688,nan,nan,0.011081,0.012688,-3.079776,4.035107,-2.432335,0.011081,0.012688,nan,nan,0.011081,0.012688,0.316983,0,relative_first_pair,
1788944799.223304,4.834350,-3.090841,4.034512,-2.419646,0.323800,0.125000,0.590030,-3.093901,4.034526,-2.422128,0.003060,0.002482,nan,nan,0.003060,0.002482,-3.105896,4.023726,-2.395026,0.018519,0.024620,nan,nan,0.018519,0.024620,-3.091725,4.024257,-2.405232,0.010293,0.014414,nan,nan,0.010293,0.014414,-3.091725,4.024257,-2.405232,0.010293,0.014414,nan,nan,0.010293,0.014414,0.316983,0,relative_first_pair,
1788944799.273024,4.884070,-3.102531,4.023781,-2.392390,0.336800,0.134100,0.617287,-3.093901,4.034526,-2.422128,0.013782,0.029739,nan,nan,0.013782,0.029739,-3.105804,4.023807,-2.394872,0.003273,0.002482,nan,nan,0.003273,0.002482,-3.091725,4.024257,-2.405232,0.010817,0.012843,nan,nan,0.010817,0.012843,-3.091725,4.024257,-2.405232,0.010817,0.012843,nan,nan,0.010817,0.012843,0.319156,0,relative_first_pair,
1788944799.273024,4.884070,-3.102531,4.023781,-2.392390,0.336800,0.134100,0.617287,-3.117504,4.012689,-2.367770,0.018634,0.024620,nan,nan,0.018634,0.024620,-3.105804,4.023807,-2.394872,0.003273,0.002482,nan,nan,0.003273,0.002482,-3.103286,4.013171,-2.377976,0.010637,0.014414,nan,nan,0.010637,0.014414,-3.103286,4.013171,-2.377976,0.010637,0.014414,nan,nan,0.010637,0.014414,0.319156,0,relative_first_pair,
