bag_time,time,status,level,closest_point_dist_m,command_speed_mps,command_steering_rad,drivable_gap_count,emergency_stop,forward_clearance_m,gap_0_deepest_angle,gap_0_end_angle,gap_0_max_clearance,gap_0_mean_clearance,gap_0_score,gap_0_start_angle,gap_0_weighted_center,gap_0_width,gap_1_deepest_angle,gap_1_end_angle,gap_1_max_clearance,gap_1_mean_clearance,gap_1_score,gap_1_start_angle,gap_1_weighted_center,gap_1_width,no_path,rate_limited_steering,raw_steering,raw_target_angle,selected_gap_deepest_angle,selected_gap_end_angle,selected_gap_max_clearance,selected_gap_mean_clearance,selected_gap_score,selected_gap_start_angle,selected_gap_weighted_center,selected_gap_width,smoothed_target_angle,source_stamp_s,trajectory_collision_free,trajectory_free_distance_m,trajectory_min_clearance_m
1788888669.9768705,1788888669.9766967,gap_selected,b'\x00',0.859705,0.260000,0.080000,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553137,1.299001,7.537686,-1.400622,-0.561691,1.213004,0.087271,1.418085,7.947262,2.007314,28.452348,0.087271,0.380739,1.330814,0.000000,0.080000,0.174533,0.234005,0.087271,1.418085,7.947262,2.007314,28.452348,0.087271,0.380739,1.330814,0.234005,1788888669.913157,0.000000,1.500000,0.000000
1788888670.0257142,1788888670.0255606,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553133,1.299001,7.537673,-1.400622,-0.561691,1.213004,0.087271,1.418085,7.947273,2.007315,28.452407,0.087271,0.380739,1.330814,0.000000,0.174533,0.174533,0.234005,0.087271,1.418085,7.947273,2.007315,28.452407,0.087271,0.380739,1.330814,0.234005,1788888669.968623,0.000000,1.500000,0.000000
1788888670.07242,1788888670.07229,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553141,1.299001,7.537699,-1.400622,-0.561691,1.213004,0.087271,1.418085,7.947252,2.007313,28.452293,0.087271,0.380739,1.330814,0.000000,0.174533,0.174533,0.234005,0.087271,1.418085,7.947252,2.007313,28.452293,0.087271,0.380739,1.330814,0.234005,1788888670.018048,0.000000,1.500000,0.000000
1788888670.1198595,1788888670.1197631,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553137,1.299001,7.537686,-1.400622,-0.561691,1.213004,0.087271,1.418085,7.947262,2.007314,28.452348,0.087271,0.380739,1.330814,0.000000,0.174533,0.174533,0.234005,0.087271,1.418085,7.947262,2.007314,28.452348,0.087271,0.380739,1.330814,0.234005,1788888670.065194,0.000000,1.500000,0.000000
1788888670.168653,1788888670.1684825,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553137,1.299001,7.537686,-1.400622,-0.561691,1.213004,0.087271,1.418085,7.947262,2.007314,28.452348,0.087271,0.380739,1.330814,0.000000,0.174533,0.174533,0.234005,0.087271,1.418085,7.947262,2.007314,28.452348,0.087271,0.380739,1.330814,0.234005,1788888670.113806,0.000000,1.500000,0.000000
1788888670.2184424,1788888670.2181656,gap_selected,b'\x00',0.859705,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553141,1.299001,7.537699,-1.400622,-0.561691,1.213004,0.087271,1.418085,7.947252,2.007313,28.452293,0.087271,0.380739,1.330814,0.000000,0.174533,0.174533,0.234005,0.087271,1.418085,7.947252,2.007313,28.452293,0.087271,0.380739,1.330814,0.234005,1788888670.163915,0.000000,1.500000,0.000000
1788888670.268095,1788888670.267915,gap_selected,b'\x00',0.859707,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553163,1.299006,7.537769,-1.400622,-0.561691,1.213004,0.087271,1.418085,7.947226,2.007307,28.452153,0.087271,0.380739,1.330814,0.000000,0.174533,0.174533,0.234005,0.087271,1.418085,7.947226,2.007307,28.452153,0.087271,0.380739,1.330814,0.234005,1788888670.213480,0.000000,1.500000,0.000000
1788888670.3185413,1788888670.3182712,gap_selected,b'\x00',0.859713,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553194,1.299015,7.537867,-1.400622,-0.561690,1.213004,0.087271,1.418085,7.947195,2.007296,28.451987,0.087271,0.380739,1.330814,0.000000,0.174533,0.174533,0.234005,0.087271,1.418085,7.947195,2.007296,28.451987,0.087271,0.380739,1.330814,0.234005,1788888670.264156,0.000000,1.500000,0.000000
1788888670.367198,1788888670.3670604,gap_selected,b'\x00',0.859719,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553227,1.299024,7.537972,-1.400622,-0.561690,1.213004,0.087271,1.418085,7.947164,2.007285,28.451821,0.087271,0.380738,1.330814,0.000000,0.174533,0.174533,0.234005,0.087271,1.418085,7.947164,2.007285,28.451821,0.087271,0.380738,1.330814,0.234005,1788888670.313330,0.000000,1.500000,0.000000
1788888670.4202266,1788888670.4201155,gap_selected,b'\x00',0.859724,0.260000,0.174533,2.000000,0.000000,1.500000,-0.187618,-0.187618,3.553254,1.299031,7.538059,-1.400622,-0.561690,1.213004,0.087271,1.418085,7.947137,2.007276,28.451679,0.087271,0.380738,1.330814,0.000000,0.174533,0.174533,0.234005,0.087271,1.418085,7.947137,2.007276,28.451679,0.087271,0.380738,1.330814,0.234005,1788888670.363571,0.000000,1.500000,0.000000
