stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,gt_world_x_m,gt_world_y_m,gt_world_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,amcl_absolute_error_m,amcl_absolute_error_rad,amcl_relative_drift_m,amcl_relative_drift_rad,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_error_m,current_map_error_rad,current_map_absolute_error_m,current_map_absolute_error_rad,current_map_relative_drift_m,current_map_relative_drift_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,ekf_absolute_error_m,ekf_absolute_error_rad,ekf_relative_drift_m,ekf_relative_drift_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,odom_absolute_error_m,odom_absolute_error_rad,odom_relative_drift_m,odom_relative_drift_rad,gt_speed_mps,collision_count,scoring_mode,map_provenance_file
1788983322.801156,107.059078,0.800600,3.157400,-1.570925,0.800000,3.158600,-1.570925,0.800600,3.158300,-1.570921,0.000900,0.000004,0.000900,0.000004,0.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.800600,3.157400,-1.570925,0.000000,0.000000,0.000000,0.000000,0.000900,0.000004,0.800600,3.157400,-1.570925,0.000000,0.000000,0.000000,0.000000,0.000900,0.000004,0.004013,0,absolute,
1788983322.850569,107.108490,0.800600,3.157400,-1.570660,0.800000,3.158600,-1.570660,0.800600,3.158300,-1.570921,0.000900,0.000262,0.000900,0.000262,0.000000,0.000265,0.800600,3.158300,-1.570656,0.000900,0.000004,0.000900,0.000004,0.000000,0.000000,0.800600,3.157400,-1.570660,0.000000,0.000000,0.000000,0.000000,0.000900,0.000004,0.800600,3.157400,-1.570660,0.000000,0.000000,0.000000,0.000000,0.000900,0.000004,0.000000,0,absolute,
1788983322.850569,107.108490,0.800600,3.157400,-1.570660,0.800000,3.158600,-1.570660,0.800600,3.158300,-1.570656,0.000900,0.000004,0.000900,0.000004,0.000000,0.000000,0.800600,3.158300,-1.570656,0.000900,0.000004,0.000900,0.000004,0.000000,0.000000,0.800600,3.157400,-1.570660,0.000000,0.000000,0.000000,0.000000,0.000900,0.000004,0.800600,3.157400,-1.570660,0.000000,0.000000,0.000000,0.000000,0.000900,0.000004,0.000000,0,absolute,
1788983322.901415,107.159337,0.800600,3.157300,-1.570678,0.800000,3.158500,-1.570679,0.800600,3.158300,-1.570656,0.001000,0.000022,0.001000,0.000022,0.000100,0.000019,0.800600,3.158300,-1.570675,0.001000,0.000004,0.001000,0.000004,0.000100,0.000000,0.800600,3.157400,-1.570678,0.000100,0.000000,0.000100,0.000000,0.000800,0.000004,0.800600,3.157400,-1.570678,0.000100,0.000000,0.000100,0.000000,0.000800,0.000004,0.001967,0,absolute,
1788983322.901415,107.159337,0.800600,3.157300,-1.570678,0.800000,3.158500,-1.570679,0.800600,3.158300,-1.570675,0.001000,0.000004,0.001000,0.000004,0.000100,0.000000,0.800600,3.158300,-1.570675,0.001000,0.000004,0.001000,0.000004,0.000100,0.000000,0.800600,3.157400,-1.570678,0.000100,0.000000,0.000100,0.000000,0.000800,0.000004,0.800600,3.157400,-1.570678,0.000100,0.000000,0.000100,0.000000,0.000800,0.000004,0.001967,0,absolute,
1788983322.951071,107.208992,0.800600,3.157200,-1.570690,0.800000,3.158400,-1.570690,0.800600,3.158300,-1.570675,0.001100,0.000015,0.001100,0.000015,0.000200,0.000012,0.800600,3.158300,-1.570686,0.001100,0.000004,0.001100,0.000004,0.000200,0.000000,0.800600,3.157400,-1.570690,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.800600,3.157400,-1.570690,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.002014,0,absolute,
1788983322.951071,107.208992,0.800600,3.157200,-1.570690,0.800000,3.158400,-1.570690,0.800600,3.158300,-1.570686,0.001100,0.000004,0.001100,0.000004,0.000200,0.000000,0.800600,3.158300,-1.570686,0.001100,0.000004,0.001100,0.000004,0.000200,0.000000,0.800600,3.157400,-1.570690,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.800600,3.157400,-1.570690,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.002014,0,absolute,
1788983323.001467,107.259389,0.800600,3.157200,-1.570702,0.800000,3.158400,-1.570702,0.800600,3.158300,-1.570686,0.001100,0.000016,0.001100,0.000016,0.000200,0.000012,0.800600,3.158300,-1.570698,0.001100,0.000004,0.001100,0.000004,0.000200,0.000000,0.800600,3.157400,-1.570690,0.000200,0.000012,0.000200,0.000012,0.000700,0.000008,0.800600,3.157400,-1.570690,0.000200,0.000012,0.000200,0.000012,0.000700,0.000008,0.000000,0,absolute,
1788983323.001467,107.259389,0.800600,3.157200,-1.570702,0.800000,3.158400,-1.570702,0.800600,3.158300,-1.570698,0.001100,0.000004,0.001100,0.000004,0.000200,0.000000,0.800600,3.158300,-1.570698,0.001100,0.000004,0.001100,0.000004,0.000200,0.000000,0.800600,3.157400,-1.570702,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.800600,3.157400,-1.570702,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.000000,0,absolute,
1788983323.050743,107.308665,0.800600,3.157200,-1.570710,0.800000,3.158400,-1.570711,0.800600,3.158300,-1.570698,0.001100,0.000012,0.001100,0.000012,0.000200,0.000008,0.800600,3.158300,-1.570707,0.001100,0.000004,0.001100,0.000004,0.000200,0.000000,0.800600,3.157400,-1.570710,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.800600,3.157400,-1.570710,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.000000,0,absolute,
1788983323.050743,107.308665,0.800600,3.157200,-1.570710,0.800000,3.158400,-1.570711,0.800600,3.158300,-1.570707,0.001100,0.000004,0.001100,0.000004,0.000200,0.000000,0.800600,3.158300,-1.570707,0.001100,0.000004,0.001100,0.000004,0.000200,0.000000,0.800600,3.157400,-1.570710,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.800600,3.157400,-1.570710,0.000200,0.000000,0.000200,0.000000,0.000700,0.000004,0.000000,0,absolute,
1788983323.100895,107.358817,0.800600,3.157100,-1.570715,0.800000,3.158300,-1.570715,0.800600,3.158300,-1.570707,0.001200,0.000008,0.001200,0.000008,0.000300,0.000004,0.800600,3.158300,-1.570711,0.001200,0.000004,0.001200,0.000004,0.000300,0.000000,0.800600,3.157400,-1.570715,0.000300,0.000000,0.000300,0.000000,0.000600,0.000004,0.800600,3.157400,-1.570715,0.000300,0.000000,0.000300,0.000000,0.000600,0.000004,0.001994,0,absolute,
1788983323.100895,107.358817,0.800600,3.157100,-1.570715,0.800000,3.158300,-1.570715,0.800600,3.158300,-1.570711,0.001200,0.000004,0.001200,0.000004,0.000300,0.000000,0.800600,3.158300,-1.570711,0.001200,0.000004,0.001200,0.000004,0.000300,0.000000,0.800600,3.157400,-1.570715,0.000300,0.000000,0.000300,0.000000,0.000600,0.000004,0.800600,3.157400,-1.570715,0.000300,0.000000,0.000300,0.000000,0.000600,0.000004,0.001994,0,absolute,
